week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,kicking_fgm_yds,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,fumbles_lost,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,passing_ints,rushing_twoptm,defense_xpblk,defense_fgblk,fumbles_rec_tds
12.0,NYG,WR,T.King,,,,,,,,,,0.0,,,36.0,2.0,0.0,0.0,,,,,,,,,,,
12.0,WAS,WR,J.Crowder,,,,,,,,,,0.0,,,141.0,7.0,1.0,0.0,,,,,,,,,,,
12.0,NYG,DT,J.Bromley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,OLB,J.Casillas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DEF,C.Grant,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DE,O.Vernon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,DEF,R.Anderson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,RB,W.Gallman,,,,,,,,,,0.0,,,6.0,2.0,0.0,0.0,,,37.0,,,0.0,,0.0,,,
12.0,WAS,DE,E.Hood,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,DEF,M.Ioannidis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DB,R.Cockrell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,CB,Q.Dunbar,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,DB,D.Swearinger,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,OT,E.Flowers,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,TE,R.Ellison,,,,,,,,,,0.0,,,9.0,1.0,0.0,0.0,,,,,,,,,,,
12.0,WAS,DEF,J.Harvey-Clemons,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,,A.Francis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,DE,A.Lanier,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,K,A.Rosas,,,,,,,,,,0.0,1.0,30.0,,,,,,,,,,,,,,,
12.0,WAS,TE,V.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,NT,R.Thomas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DB,J.Jenkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DEF,D.Deayon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,SS,N.Berhe,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DEF,D.Tomlinson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,WR,R.Grant,,,,,,,,,,0.0,,,3.0,1.0,0.0,0.0,,,,,,,,,,,
12.0,WAS,OG,A.Kouandjio,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,T,T.Nsekhe,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,WR,J.Holsey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,RB,P.Perkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DEF,A.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,WR,T.Rudolph,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,CB,B.Breeland,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,,J.Halapio,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,
12.0,WAS,,J.Galette,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
